# File: cost_adj.txt


# This file is used to initialize the "lib/data/cost_adj.raw" file, which is
# used to initialize the "racial price adjustment" information for the
# Angband game.

# Do not modify this file unless you know exactly what you are doing,
# unless you wish to risk possible system crashes and broken savefiles.
# After modifying this file, delete the "lib/data/cost_adj.raw" file.


# Format:
# A:store adjustments


# Version stamp (required)

V:0.6.6

#Note all the new races are to do.

# Man of Bree
A:100:105:105:110:113:115:120:125:100:105:120:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Wood-Elf
A:110:105:100:105:110:120:125:130:110:100:115:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Hobbit
A:115:110:105: 95:100:110:120:125:115:105:115:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Shadow Fairy TODO
A:110:115:120:110:105:110:110:120:110:125: 90:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Dwarf
A:115:120:120:110:105: 95:125:130:110:120:115:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Dunadan
A:100:105:105:110:113:115:120:125:100:105:120:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# High-Elf
A:110:105:100:105:110:120:135:130:110:100:125:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Maia TODO
A:110:115:120:110:105:110:110:70:110:125: 90:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Ent TODO
A:110:115:120:110:105:110:110:120:110:125: 90:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Druedan TODO
A:110:115:120:110:105:110:110:120:110:125: 90:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Man of Erech TODO
A:110:115:120:110:105:110:110:120:110:125: 90:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Man of the Dale TODO
A:110:115:120:110:105:110:110:120:110:125: 90:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Man of Rohan TODO
A:110:115:120:110:105:110:110:120:110:125: 90:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Man of Gondor TODO
A:110:115:120:110:105:110:110:120:110:125: 90:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Man of Harad TODO
A:110:115:120:110:105:110:110:120:110:125: 90:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Forge Giant TODO
A:110:115:120:110:105:110:110:120:110:125: 90:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Fire Giant TODO
A:110:115:120:110:105:110:110:120:110:125: 90:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Frost Giant TODO
A:110:115:120:110:105:110:110:120:110:125: 90:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Beorning TODO
A:110:115:120:110:105:110:110:120:110:125: 90:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Werewolf TODO
A:110:115:120:110:105:110:110:120:110:125: 90:100:100:100:100:100:100:100:100:70:100:100:100:100:100:100:100:100:100

# Vampire TODO
A:110:115:120:110:105:110:110:120:110:125: 90:100:100:100:100:100:100:100:100:100:70:100:100:100:100:100:100:100:100

# Goblin
A:110:115:120:110:105:110:110:120:110:125: 90:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Goblin-Man TODO
A:110:115:120:110:105:110:110:120:110:125: 90:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Orc TODO
A:110:115:120:110:105:110:110:120:110:125: 90:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Half-Orc
A:115:120:125:115:115:130: 95:105:115:130:110:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100

# Stone Troll TODO
A:110:115:120:110:110:130:105: 95:110:125:110:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100:100
